index,CODIGO,ENTIDAD,DIRECCION,COMUNA,HORARIO,LONGITUD,LATITUD,CATEGORIA,FUNCIONES
1433,123421,Petsfoods,Venancia Leiva 1966,SAN RAMON,No hay informacion disponible,-70.640793,-33.556786,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1434,123425,Almacún Dori,Angol  1643,RENCA,No hay informacion disponible,-70.725990,-33.400024,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1435,123427,Comercializadora Xause Spa,Lincoyan 1231,ÐUÐOA,No hay informacion disponible,-70.618279,-33.452271,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1436,123438,Cristian Carvajal Andrade,Las Torres 560,QUILICURA,No hay informacion disponible,-70.646996,-33.515297,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1437,123443,Minimarket Gael Y Leah,Maria Elena 1242,LA FLORIDA,No hay informacion disponible,-70.601601,-33.562614,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1438,123445,Jjdelivery Spa,Texas 1125,VITACURA,No hay informacion disponible,-70.558723,-33.392090,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1439,123459,La Vegita Del Alba,Lago General Carrera  5138,PUENTE ALTO,No hay informacion disponible,-70.565201,-33.549732,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1440,123460,"Edith Hernandez ""Punto Market""",Cordillera 11361,LA FLORIDA,No hay informacion disponible,-70.561134,-33.558411,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1441,123464,El Jazmin,Jose Victorino Lastarria 31,PADRE HURTADO,No hay informacion disponible,-70.808245,-33.584862,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1442,123468,"Cecilia Iturra ""Cys""",Av. Las Araucarias 81,PADRE HURTADO,No hay informacion disponible,-70.818051,-33.584225,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1443,123469,Nuevo Ciervo Real,Galvarino 493,QUILICURA,No hay informacion disponible,-70.716652,-33.371677,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1444,123470,Oxxo - Manuel Montt 2,Manuel Montt 432,PROVIDENCIA,No hay informacion disponible,-70.617912,-33.432209,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1445,123482,Oxxo - Las Verbenas,Las Verbenas 9001,LAS CONDES,No hay informacion disponible,-70.545074,-33.393116,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1446,123490,Alimentos Congelados Alvear,Av. Oriental 7334,PEÐALOLEN,No hay informacion disponible,-70.554955,-33.468430,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
